customer_id,geography_id,customer_name,birthdate,maritalstatus,gender,datefirstpurchase
11000,26,Jon Yang,1986-04-08,M,M,2016-07-22
11001,37,Eugene Huang,1985-05-14,S,M,2016-07-18
11002,31,Ruben Torres,1985-08-12,M,M,2016-07-10
11004,19,Elizabeth Johnson,1988-08-08,S,F,2016-07-26
11005,22,Julio Ruiz,1985-08-05,S,M,2016-07-02
11006,8,Janet Alvarez,1985-12-06,S,F,2016-07-27
11007,40,Marco Mehta,1984-05-09,M,M,2016-07-12
11008,32,Rob Verhoff,1984-07-07,S,F,2016-07-28
11009,25,Shannon Carlson,1984-04-01,S,M,2016-07-30
11010,22,Jacquelyn Suarez,1984-02-06,S,F,2016-07-17
11011,22,Curtis Lu,1983-11-04,M,M,2016-07-02
11012,611,Lauren Walker,1988-01-18,M,F,2018-09-17
11013,543,Ian Jenkins,1988-08-06,M,M,2018-10-15
11014,634,Sydney Bennett,1988-05-09,S,F,2018-09-24
11015,301,Chloe Young,1999-02-27,S,F,2018-07-22
11016,329,Wyatt Hill,1999-04-28,M,M,2018-08-13
11017,39,Shannon Wang,1964-06-26,S,F,2016-07-15
11018,32,Clarence Rai,1964-10-09,S,M,2016-07-20
11019,52,Luke Lal,1998-03-07,S,M,2018-08-16
11020,53,Jordan King,1998-09-20,S,M,2018-07-02
11021,536,Destiny Wilson,1998-09-03,S,F,2018-07-27
11022,609,Ethan Zhang,1998-10-12,M,M,2018-07-24
11023,298,Seth Edwards,1998-10-11,M,M,2018-08-21
11024,311,Russell Xie,1998-09-17,M,M,2018-12-29
11025,24,Alejandro Beck,1965-12-23,M,M,2016-07-09
11026,4,Harold Sai,1966-04-03,S,M,2016-07-26
11027,40,Jessie Zhao,1966-12-07,M,M,2016-07-19
11028,17,Jill Jimenez,1966-04-11,M,F,2016-07-29
11029,32,Jimmy Moreno,1966-12-21,M,M,2016-07-22
11030,28,Bethany Yuan,1967-02-22,M,F,2016-08-08
11031,8,Theresa Ramos,1967-08-22,M,F,2016-08-04
11032,35,Denise Stone,1967-06-11,M,F,2016-08-21
11033,9,Jaime Nath,1967-09-23,M,M,2016-08-18
11034,12,Ebony Gonzalez,1967-06-19,M,F,2016-08-04
11035,33,Wendy Dominguez,1968-02-24,M,F,2016-08-09
11036,343,Jennifer Russell,1998-12-18,M,F,2018-07-26
11037,49,Chloe Garcia,1997-11-27,S,F,2018-07-24
11038,6,Diana Hernandez,1968-03-23,M,F,2016-08-10
11039,19,Marc Martin,1968-12-17,M,M,2016-08-10
11040,642,Jesse Murphy,1997-08-01,M,M,2018-10-05
11041,325,Amanda Carter,1997-10-16,M,F,2018-07-18
11042,338,Megan Sanchez,1997-06-13,M,F,2018-07-25
11043,325,Nathan Simmons,1996-02-24,M,M,2018-11-09
11044,25,Adam Flores,1969-05-24,M,M,2016-08-31
11045,8,Leonard Nara,1970-05-19,S,M,2018-10-12
11046,6,Christine Yuan,1970-03-22,M,F,2016-08-09
11047,34,Jaclyn Lu,1970-02-27,M,F,2016-08-06
11048,39,Jeremy Powell,1970-11-22,M,M,2016-08-13
11049,307,Carol Rai,2000-07-18,S,F,2018-09-10
11050,31,Alan Zheng,1971-09-07,M,M,2016-08-23
11052,8,Heidi Lopez,1971-08-07,S,F,2016-08-20
11053,359,Ana Price,2000-08-20,M,F,2018-07-21
11054,34,Deanna Munoz,1972-03-10,M,F,2016-08-06
11055,22,Gilbert Raje,1972-03-05,M,M,2016-08-03
11056,10,Michele Nath,1973-04-03,M,F,2016-08-29
11057,5,Carl Andersen,1973-10-12,M,M,2016-08-25
11058,29,Marc Diaz,1974-04-27,M,M,2016-09-09
11059,27,Ashlee Andersen,1974-04-01,S,F,2018-08-22
11060,40,Jon Zhou,1974-03-17,M,M,2016-09-19
11061,23,Todd Gao,1974-02-27,M,M,2016-09-13
11062,547,Noah Powell,1995-09-02,M,M,2018-07-11
11063,634,Angela Murphy,1995-04-07,S,F,2018-07-16
11064,315,Chase Reed,1995-12-07,M,M,2018-07-29
